X,Y,OBJECTID,inc_id,created_date,post_structure_qty,post_people_count,post_people_under_25_count,post_children_count,post_reason,waste_material_qty,dogs_present,post_location,email_time_utc,bureaus_detail,graffiti,Latitude,Longitude
-13653436.93,5705573.248,121,23-130102,2023/03/16 18:19:44+00,1,1,0,0,5,5,0,1300-1499 NE MULTNOMAH ST,2023/03/16 18:36:47+00,,1,45.53141338995465,-122.6509107
-13654343.48,5699529.356,122,23-134925,2023/04/07 17:56:31+00,6,7,0,0,5,150,1,SWCT on Willamette 2,2023/04/07 18:36:40+00,,0,45.49336715645199,-122.6590544
-13645486.34,5703838.54,123,23-217747,2023/12/28 17:24:25+00,1,2,0,0,5,20,0,"8100-8199 SE PINE ST, PORTLAND  97215",2023/12/28 17:36:39+00,,0,45.52049605385881,-122.5794894
-13635869.6,5699760.459,124,23-208203,2024/01/10 19:16:21+00,0,10,0,0,5,40,0,3800-3949 SE 166TH AVE,2024/01/10 19:36:35+00,,0,45.49482242021929,-122.4931007
-13652795.03,5700695.618,125,23-173042,2023/07/28 16:36:03+00,2,2,0,0,5,5,0,2000-2099 SE TIBBETTS ST,2023/07/28 16:36:43+00,,0,45.500710765562985,-122.6451445
-13643831.59,5699997.962,126,24-13212,2024/03/15 21:41:20+00,6,7,0,0,5,40,0,I-205 SE Powell NB offramp ,2024/03/15 22:36:42+00,,0,45.49631794583099,-122.5646245
-13657299.44,5703174.494,127,24-13744,2024/03/08 20:17:02+00,1,1,0,0,5,10,0,1100-1199 SW JEFFERSON ST,2024/03/08 20:36:46+00,,0,45.516316338228734,-122.6856083
-13641848.99,5699808.48,128,24-29168,2024/05/01 18:48:39+00,0,1,0,0,5,20,0,SE 113th and SE Bush,2024/05/01 19:36:39+00,,0,45.495124805436376,-122.5468145
-13636829.25,5708977.736,129,24-09183,2024/04/10 19:17:14+00,1,15,3,0,5,20,1,15000-15799 NE MASON ST,2024/04/10 19:36:44+00,,0,45.55283328009042,-122.5017214
-13657309.79,5703352.685,130,24-23605,2024/04/11 21:30:40+00,1,1,0,0,5,20,0,1126 SW 12TH AVE ,2024/04/11 21:36:50+00,,0,45.517437959241576,-122.6857012
-13634126.05,5708333.752,131,23-201211,2023/11/17 19:22:31+00,1,3,0,0,5,60,0,Columbia Sough at NE Airport Way,2023/11/17 19:36:42+00,,0,45.54878217581844,-122.4774382
