X,Y,OBJECTID,inc_date_create,inc_id,duplicate,item_date_create,IS_VEHICLE,report_id,latitude,longitude,zip_code,NAME,year,month
-13655631.0959,5708058.1173,313,2025/06/08 02:08:04+00,25-154161,0,20250607185832,No,882602,45.54704815389121,-122.6706212774478,97227,Boise,2025,6
-13655631.0959,5708058.1173,313,2025/06/08 02:08:04+00,25-154161,0,20250607185832,No,882602,45.54704815389121,-122.6706212774478,97227,Eliot,2025,6
-13652105.5041,5703540.9533,319,2025/06/08 01:28:04+00,25-154155,0,20250607181858,Yes,882578,45.51862298740393,-122.63895034745275,97214,Buckman,2025,6
-13639790.1902,5705858.7523,320,2025/06/08 01:28:04+00,25-154154,0,20250607181749,Yes,882576,45.5332100001975,-122.52832000040172,97230,Hazelwood,2025,6
-13643156.2011,5697024.084,323,2025/06/08 01:18:04+00,25-154151,0,20250607180907,Yes,882567,45.47758895656064,-122.55855739078156,97266,Lents,2025,6
-13658050.856,5703109.995,325,2025/06/08 01:08:04+00,25-154149,0,20250607180125,No,882563,45.51591034457209,-122.69235835226512,97201,Goose Hollow,2025,6
-13654009.0648,5702192.8394,326,2025/06/08 01:08:04+00,25-154148,0,20250607175826,No,882561,45.510136924837504,-122.65605032416333,97214,Hosford-Abernethy,2025,6
-13645654.7365,5707960.5507,327,2025/06/08 01:08:04+00,25-154147,0,20250607175740,Yes,882557,45.54643434816569,-122.58100211615893,97213,Roseway,2025,6
-13636263.1338,5705916.6719,329,2025/06/08 00:48:04+00,25-154145,0,20250607173836,Yes,882541,45.53357446737844,-122.49663591368102,97230,Wilkes,2025,6
-13654432.4543,5702112.9034,331,2025/06/08 00:38:04+00,25-154143,0,20250607173405,No,882530,45.50963370617426,-122.65985369675317,97214,Hosford-Abernethy,2025,6
-13654003.0932,5706252.1084,332,2025/06/08 00:38:04+00,25-154142,0,20250607173251,Yes,882527,45.53568520200212,-122.65599668036782,97212,Irvington,2025,6
-13644278.8005,5697462.9241,336,2025/06/08 00:18:08+00,25-154138,0,20250607171404,No,882516,45.48035309021311,-122.56864187277121,97266,Lents,2025,6
-13641120.4681,5705842.101,339,2025/06/07 23:38:04+00,25-154135,0,20250607163151,No,882493,45.533105219127044,-122.54027009009872,97220,Hazelwood,2025,6
-13657794.7878,5702539.4093,341,2025/06/07 23:18:04+00,25-154133,0,20250607161246,No,882479,45.51231862372258,-122.69005805248673,97201,Southwest Hills,2025,6
-13657794.7878,5702539.4093,341,2025/06/07 23:18:04+00,25-154133,0,20250607161246,No,882479,45.51231862372258,-122.69005805248673,97201,Goose Hollow,2025,6
-13656433.8501,5701501.2485,346,2025/06/07 22:48:04+00,25-154128,0,20250607154152,No,882464,45.50578302481083,-122.67783254112031,97201,Portland Downtown,2025,6
-13652062.3093,5698531.1829,350,2025/06/07 22:28:04+00,25-154124,0,20250607151937,Yes,882448,45.487081193143815,-122.63856232196238,97202,Reed,2025,6
