X,Y,OBJECTID,inc_id,created_date,post_structure_qty,post_people_count,post_people_under_25_count,post_children_count,post_reason,waste_material_qty,dogs_present,post_location,email_time_utc,bureaus_detail,graffiti,latitude,longitude,zip_code,NAME
-13641680.607,5697273.2691,78,23-138405,2023/05/04 18:12:23+00,2,3,0,0,5,40,0.0,BES SwCT Wetland 1,2023/05/04 18:36:51+00,,0.0,45.47915852192628,-122.54530190344971,97266.0,Powellhurst-Gilbert
-13653219.015,5698373.8431,79,23-178577,2023/09/22 16:36:35+00,2,4,0,0,5,10,0.0,1600-1699 SE MITCHELL ST,2023/09/22 16:36:45+00,,0.0,45.4860902867575,-122.64895318605778,97202.0,Sellwood-Moreland
-13656699.289,5704120.9521,80,23-128648,2023/03/09 20:44:10+00,2,2,0,0,5,20,0.0,300-399 SW 9TH AVE,2023/03/09 21:36:43+00,,0.0,45.52227355087254,-122.68021701932902,97205.0,Portland Downtown
-13645887.3319,5703478.1517,81,24-20617,2024/04/12 18:04:00+00,2,2,0,0,5,10,0.0,SE 78TH and SE WASHINGTON ,2024/04/12 18:36:48+00,,0.0,45.51822769439715,-122.58309155618728,97215.0,Montavilla
-13656300.905,5700085.1081,82,23-136007,2023/07/07 16:49:14+00,1,1,0,0,5,20,0.0,SW Gaines st. Gravel area,2023/07/07 17:36:44+00,,0.0,45.49686668356866,-122.67663827496752,97239.0,South Portland
-13649438.2181,5711627.2077,83,23-193662,2023/10/06 20:28:48+00,6,6,0,0,5,40,0.0,NE 46 and NE Lombard,2023/10/06 20:36:49+00,,0.0,45.56949721565729,-122.61498970964357,97218.0,Cully
-13655061.8933,5704705.4927,84,PPR-23-1109-05147,2023/12/01 19:01:18+00,1,1,0,0,5,5,0.0,Under eastbank Platform to Duckworth,2023/12/01 19:36:40+00,,0.0,45.525952461183074,-122.6655080434944,97232.0,Kerns
-13655770.9713,5706034.0469,85,24-08607,2024/02/15 18:01:02+00,8,10,2,0,5,35,0.0,"407 N BROADWAY , PORTLAND  97227",2024/02/15 18:36:44+00,,1.0,45.53431305873311,-122.67187779954473,97227.0,Eliot
-13664841.0277,5713890.0095,86,24-21226,2024/04/03 19:59:33+00,1,1,0,0,5,5,0.0,"6600-6699 N OSWEGO AVE, PORTLAND  97203",2024/04/03 20:36:40+00,,0.0,45.58372526565244,-122.75335550246419,97203.0,Cathedral Park
-13654094.458,5702594.0031,87,23-157782,2023/06/08 16:54:13+00,2,2,0,0,5,5,0.0,1400-1499 SE 9TH AVE,2023/06/08 17:36:56+00,,0.0,45.51266229049929,-122.65681742433054,97214.0,Buckman
-13654939.5217,5703770.4443,88,23-217015,2024/03/28 17:25:42+00,1,2,0,0,5,20,0.0,SE 2ND AND SE OAK,2024/03/28 17:36:48+00,,1.0,45.52006745226409,-122.66440876070817,97214.0,Buckman
-13663349.907,5713623.6271,89,23-126562,2023/05/11 18:54:41+00,0,5,0,0,5,15,0.0,6700-6799 N CAREY BLVD,2023/05/11 19:36:46+00,,0.0,45.58205049304462,-122.7399605373114,97203.0,University Park
-13656991.302,5709534.2461,90,23-163929,2023/06/29 20:29:23+00,3,4,0,0,5,25,0.0,N Interstate and N Going ,2023/06/29 20:36:39+00,,1.0,45.5563338779034,-122.68284021673962,97217.0,Overlook
-13657270.179,5704348.5185,91,24-19607,2024/03/29 17:33:31+00,6,6,0,0,5,25,0.0,1400-1474 NW COUCH ST,2024/03/29 20:16:03+00,,0.0,45.52370580911504,-122.6853454114545,97209.0,Pearl District
-13644147.395,5701476.8321,92,23-177289,2023/08/10 21:56:11+00,1,2,0,0,5,20,1.0,SE 93RD AVE and SE CARUTHERS ST,2023/08/10 22:36:39+00,,1.0,45.505629305580094,-122.56746143708052,97216.0,Montavilla
-13656964.4298,5702753.4823,93,24-21269,2024/04/05 17:11:28+00,1,1,0,0,5,10,0.0,1505 SW 6TH AVE ,2024/04/05 17:36:43+00,,0.0,45.51366619655546,-122.68259881965986,97201.0,Portland Downtown
-13654883.9099,5703443.1701,94,23-204666,2023/11/02 21:46:59+00,1,1,0,0,5,5,0.0,100-199 SE ALDER ST,2023/11/02 22:36:42+00,,0.0,45.518007508009006,-122.663909191409,97214.0,Buckman
-13654425.5869,5702358.9817,95,24-02959,2024/01/26 19:38:50+00,1,1,0,0,5,1,0.0,"1600-1699 SE 6TH AVE, PORTLAND  97214",2024/01/26 20:36:37+00,,0.0,45.5111828209991,-122.65979200584937,97214.0,Hosford-Abernethy
-13654697.196,5702078.8491,96,23-152268,2023/05/26 18:10:35+00,2,3,0,0,5,10,0.0,300-389 SE STEPHENS ST,2023/05/26 18:36:51+00,,0.0,45.5094193238113,-122.66223191190772,97214.0,Hosford-Abernethy
-13646252.497,5700162.3501,97,23-163167,2023/06/23 18:26:45+00,1,1,0,0,5,10,0.0,7400-7499 SE POWELL BLVD,2023/06/23 18:36:52+00,,1.0,45.49735305313387,-122.58637189009282,97206.0,Foster-Powell
-13657072.516,5698788.8721,98,23-132222,2023/07/14 23:27:03+00,2,2,0,0,5,40,0.0,Buhler Cut off (1),2023/07/14 23:36:35+00,,0.0,45.48870404985155,-122.68356977451447,97239.0,Homestead
-13637139.6731,5703324.4125,99,24-03955,2024/01/26 18:40:44+00,1,1,0,0,5,20,0.0,"705 SE 155TH AVE, Portland 97233",2024/01/26 19:36:43+00,,0.0,45.51725999983739,-122.50451000018423,97233.0,Centennial
-13648160.437,5699585.4891,100,23-134008,2023/04/06 20:30:16+00,2,2,0,0,5,10,0.0,4010-4099 SE 58TH AVE,2023/04/06 20:36:42+00,,0.0,45.493720632026395,-122.60351120672468,97206.0,Foster-Powell
-13650648.337,5703784.8551,101,23-210569,2023/11/21 22:58:34+00,1,1,0,0,5,2,0.0,400-499 SE 37TH AVE,2023/11/21 23:36:08+00,,0.0,45.52015815564782,-122.62586039267828,97214.0,Laurelhurst
-13654373.9309,5701514.3301,102,22-111934,2023/01/06 18:12:05+00,6,6,0,0,5,25,0.0,510-669 SE CARUTHERS ST,2023/01/06 20:12:32+00,,1.0,45.50586538295013,-122.6593279721062,97214.0,Hosford-Abernethy
-13642597.851,5696941.2461,103,23-210642,2023/12/01 21:48:45+00,5,0,0,0,5,40,0.0,10350-11099   SPRINGWATER TRAIL CORR,2023/12/01 22:36:40+00,,0.0,45.47706716809226,-122.55354164649437,97266.0,Lents
-13656000.606,5704272.0341,104,23-207474,2023/11/16 17:40:38+00,2,2,0,0,5,10,0.0,300-399 W BURNSIDE ST,2023/11/16 18:36:54+00,,0.0,45.52322443538602,-122.67394064315246,97209.0,Old Town
-13654821.804,5702540.2581,105,23-138331,2023/04/13 19:29:57+00,3,5,0,0,5,16,0.0,200-299 SE HAWTHORNE BLVD,2023/04/13 19:36:47+00,,1.0,45.51232396691608,-122.66335128461695,97214.0,Buckman
-13655133.2071,5703150.4003,106,23-214978,2024/03/29 17:25:57+00,1,1,0,0,5,2,0.0,Se water Field #1 I-5,2024/03/29 20:16:03+00,,0.0,45.51616467902069,-122.66614866625947,97214.0,Buckman
-13654984.192,5703319.4761,107,23-152778,2023/06/02 19:23:39+00,5,5,0,0,5,10,0.0,SE 1ST AVE and SE MORRISON ST,2023/06/02 19:36:41+00,,0.0,45.51722892793237,-122.66481004084052,97214.0,Buckman
-13656153.48,5702466.2101,108,23-189745,2023/09/14 21:08:45+00,4,4,0,0,5,20,0.0,0-1798 S HARBOR DR,2023/09/14 21:36:45+00,,0.0,45.511857833066664,-122.67531393365991,97201.0,Portland Downtown
-13645644.661,5700085.9691,109,23-128745,2023/03/10 19:40:14+00,5,10,0,0,5,30,0.0,SE 80TH AVE and SE RHINE ST,2023/03/10 20:36:49+00,,0.0,45.49687210504899,-122.58091160640247,97206.0,Foster-Powell
-13656220.363,5703680.8421,110,23-182061,2023/08/18 19:44:51+00,1,1,0,0,5,20,0.0,500-599 SW 4TH AVE,2023/08/18 20:36:41+00,,0.0,45.519503481491306,-122.67591475387138,97204.0,Portland Downtown
-13642245.7011,5700288.8307,111,PBOT-24-0206-05411,2024/02/09 19:43:30+00,0,4,0,0,5,20,0.0,SE 110th and SE Franklin,2024/02/09 20:36:45+00,,0.0,45.49814945423351,-122.55037823011965,97266.0,Powellhurst-Gilbert
-13655724.0493,5704429.1789,112,SSCC-23-0315-04121,2023/03/16 17:56:01+00,3,3,0,0,5,20,0.0,NW 1st between Couch and Davis,2023/03/16 18:36:47+00,,0.0,45.52421346108371,-122.67145629204711,97209.0,Old Town
-13655728.3,5704759.9181,113,23-136841,2023/04/13 17:51:39+00,14,14,0,0,5,20,0.0,400-499 NW 1ST AVE,2023/04/13 18:36:50+00,,1.0,45.52629498488252,-122.6714944767349,97209.0,Old Town
