ZIP_CODE,ZIP_TYPE,PREFERRED_CITY,ACCEPTABLE_CITY1,ACCEPTABLE_CITY2,ACCEPTABLE_CITY3,AVOID_CITY1,AVOID_CITY2,AVOID_CITY3,CENSUS_ZCTA,ObjectId
97625,STANDARD,DAIRY,KLAMATH FALLS,,,,,,97625,313
97626,PO BOX ONLY,FORT KLAMATH,,,,,,,97626,314
97627,STANDARD,KENO,,,,,,,97627,315
97630,STANDARD,LAKEVIEW,,,,,,,97630,316
97632,STANDARD,MALIN,,,,,,,97632,317
97633,STANDARD,MERRILL,,,,,,,97633,318
97634,PO BOX ONLY,MIDLAND,,,,,,,97634,319
97635,STANDARD,NEW PINE CREEK,NEW PINE CRK,,,,,,97635,320
97636,STANDARD,PAISLEY,,,,,,,97636,321
97637,STANDARD,PLUSH,,,,,,,97637,322
97638,STANDARD,SILVER LAKE,,,,,,,97638,323
97639,STANDARD,SPRAGUE RIVER,CHILOQUIN,,,,,,97639,324
97640,STANDARD,SUMMER LAKE,,,,,,,97640,325
97641,PO BOX ONLY,CHRISTMAS VALLEY,CHRISTMAS VLY,,,,,,97641,326
97701,STANDARD,BEND,,,,,,,97701,327
97702,STANDARD,BEND,,,,,,,97702,328
97703,STANDARD,BEND,,,,,,,97703,329
97707,STANDARD,BEND,SUNRIVER,,,,,,97707,330
97708,PO BOX ONLY,BEND,,,,,,,NO ZCTA,331
97709,PO BOX ONLY,BEND,,,,,,,97709,332
97710,STANDARD,FIELDS,,,,,,,97710,333
97711,STANDARD,ASHWOOD,,,,,,,97711,334
97712,STANDARD,BROTHERS,,,,,,,97712,335
97720,STANDARD,BURNS,LAWEN,,,,,,97720,336
97721,STANDARD,PRINCETON,,,,,,,97721,337
97722,STANDARD,DIAMOND,,,,,,,97722,338
97730,STANDARD,CAMP SHERMAN,,,,,,,97730,339
97731,STANDARD,CHEMULT,DIAMOND LAKE,,,,,,97731,340
97732,PO BOX ONLY,CRANE,,,,,,,97732,341
97733,STANDARD,CRESCENT,CRESCENT LAKE,,,,,,97733,342
97734,STANDARD,CULVER,,,,,,,97734,343
97735,PO BOX ONLY,FORT ROCK,,,,,,,97735,344
97736,STANDARD,FRENCHGLEN,,,,,,,97736,345
97737,STANDARD,GILCHRIST,,,,,,,97737,346
97738,STANDARD,HINES,,,,,,,97738,347
97739,STANDARD,LA PINE,,,,E LAKE,EAST LAKE,,97739,348
97741,STANDARD,MADRAS,METOLIUS,,,,,,97741,349
97750,STANDARD,MITCHELL,,,,,,,97750,350
97057,PO BOX ONLY,SHANIKO,,,,,,,97057,351
